Brand,Price,Ton,BEE_rating,Avg_Rating,Reviews,Rated_reviews,Type,Inverter,Convertible,Condenser Coil,Power Consumption,Noise level,Refrigerant,Ambient Temperature,WiFi Enabled,Warranty
Panasonic,54990,2,5,4.3,"9,607","1,169",Split,Yes,No,Copper,1740,50,R32,Not Available,Yes,"1 Year Comprehensive Warranty, 4 Years on PCB, 9 Years on Compressor and 4 Years on ODU Casing"
Motorola,36999,1.5,5,4.2,37,9,Split,Yes,Yes,Copper,837,43,R32,55,No,1 Year on Product and 10 Years on Compressor
Hitachi,26599,1,3,4,"1,960",209,Window,No,No,Copper,921,50,R32,52,No,1 Year Warranty on Product and 5 Years on Compressor
Haier,35990,1.4,3,4,3,0,Split,Yes,No,Copper,1016,29,R32,Not Available,No,1 Year Warranty on Product and 12 Years on Compressor From Haier
Blue Star,26990,1,3,3.9,118,16,Window,No,No,Copper,1086,55,R32,17,No,1 Year Warranty on Product and 5 Years on Compressor
Thomson,32999,1.5,5,4.2,392,89,Split,Yes,Yes,Copper,1350,49,R32,Not Available,No,1 Year on Product and 10 Years on Compressor Warranty
Blue Star,37699,1.5,3,4,5,0,Split,Yes,No,Copper,1750,43,R32,Not Available,No,1 Year Warranty on Product and 5 Years on Compressor
Blue Star,31750,1,5,4.3,68,8,Window,No,No,Copper,1015,55,R32,17,No,1 Year Warranty on Product and 5 Years on Compressor
Daikin,38999,1.5,3,4.3,31,0,Split,No,No,Alloy,1304,42,R32,50,No,"1 Year Warranty on Product, 5 Years on Condenser, and 5 Years on Compressor"
Hitachi,33990,1,3,3.9,"2,691",279,Split,Yes,No,Copper,688,37,R32,52,No,1 Year Warranty on Complete Product and 10 Years on Compressor
Hitachi,58799,2,5,3.4,10,4,Split,Yes,No,Copper,1158,37,R410A,52,No,1 Year Warranty on Product and 5 Years on Compressor
Panasonic,50990,2,3,4.3,"9,607","1,169",Split,Yes,No,Copper,2090,50,R32,Not Available,Yes,"1 Year Comprehensive Warranty, 4 Years on PCB and 9 Years on Compressor"
Samsung,41490,1.5,5,4.1,199,28,Split,Yes,No,Copper,1380,49,R32,Not Available,Yes,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor From Samsung
Realme Techlife,28790,1,4,4,"1,154",200,Split,Yes,Yes,Copper,642,40,R32,55,No,1 Year Warranty on Product and 10 Years on Compressor
Whirlpool,32990,1.5,3,4,"2,918",336,Split,Yes,Yes,Copper,1450,45,R32,35,No,Not Available
